SourceOccurrenceId	SourceTaxonId	Kingdom	Phylum	Class	Order/Subclass/Superorder	Superfamily	Family	Species	IUCN Status	Habitat	Citation	ReportedSpeciesName	ReportedSourceFamily	TypeOfIncon	LocalityID	LocalityName	YYYY	DOI	referenceUrl	ReferenceCitation
1	WORMS:737456 	Animalia	Mollusca	Gastropoda	Architaenioglossa	Ampullarioidea	Ampullariidae	Pila ampullacea (Linnaeus, 1758)	Least Concern	Freshwater	Ng et al. (2017)	Pila ampullacea (Linnaeus, 1758)	Ampullariidae		1733039	Sabah	2017	https://doi.org/10.3897/zookeys.673.1254	https://zookeys.pensoft.net/articles.php?id=12544	Ng, T. H., Dulipat, J., Foon, J. K., Lopes-Lima, M., Zieritz, A., & Liew, T. S. (2017). A preliminary checklist of the freshwater snails of Sabah (Malaysian Borneo) deposited in the BORNEENSIS collection, Universiti Malaysia Sabah. ZooKeys, 673, 105–123. 
2	WORMS:739934	Animalia	Mollusca	Gastropoda	Architaenioglossa	Ampullarioidea	Ampullariidae	Pila scutata (Mousson, 1848)	Least Concern	Freshwater	Ng et al. (2017)	Pila scutata (Mousson, 1848)	Ampullariidae		1733039	Sabah	2017	https://doi.org/10.3897/zookeys.673.12544	https://zookeys.pensoft.net/articles.php?id=12544	Ng, T. H., Dulipat, J., Foon, J. K., Lopes-Lima, M., Zieritz, A., & Liew, T. S. (2017). A preliminary checklist of the freshwater snails of Sabah (Malaysian Borneo) deposited in the BORNEENSIS collection, Universiti Malaysia Sabah. ZooKeys, 673, 105–123. 
3	WORMS:741389	Animalia	Mollusca	Gastropoda	Architaenioglossa	Ampullarioidea	Ampullariidae	Pomacea bridgesii (Reeve, 1856)	Least Concern	Freshwater	Hamli et al. (2013)	Pomacea bridgesii (Reeve, 1856)	Ampullariidae 		1733038	Sarawak	2013	https://doi.org/10.3923/jfas.2013.412.418	https://scialert.net/abstract/?doi=jfas.2013.412.418	Hamli, H., Idris, M. H., Abu Hena, M. K., Wong, S. K., & Arshad, A. (2013). Checklist and habitat descriptions of edible gastropods from Sarawak, Malaysia. Journal of Fisheries and Aquatic Science, 8(2), 412–418.
4	WORMS:741113	Animalia	Mollusca	Gastropoda	Architaenioglossa	Ampullarioidea	Ampullariidae	Pomacea canaliculata (Lamarck, 1822)	Least Concern	Freshwater	Hamli et al. (2013)	Pomacea canaliculata (D'Orbigny, 1835)	Ampullariidae 	WrongAuthorName	1733038	Sarawak	2013	https://doi.org/10.3923/jfas.2013.412.418	https://scialert.net/abstract/?doi=jfas.2013.412.418	Hamli, H., Idris, M. H., Abu Hena, M. K., Wong, S. K., & Arshad, A. (2013). Checklist and habitat descriptions of edible gastropods from Sarawak, Malaysia. Journal of Fisheries and Aquatic Science, 8(2), 412–418.
5	WORMS:737472	Animalia	Mollusca	Gastropoda	Architaenioglossa	Ampullarioidea	Ampullariidae	Pomacea sp.1 Perry, 1810	Not Evaluated	Freshwater	Ng et al. (2017)	Pomacea sp. Perry, 1810	Ampullariidae		1733039	Sabah	2017	https://doi.org/10.3897/zookeys.673.12544	https://zookeys.pensoft.net/articles.php?id=12544	Ng, T. H., Dulipat, J., Foon, J. K., Lopes-Lima, M., Zieritz, A., & Liew, T. S. (2017). A preliminary checklist of the freshwater snails of Sabah (Malaysian Borneo) deposited in the BORNEENSIS collection, Universiti Malaysia Sabah. ZooKeys, 673, 105–123. 
6	WORMS:181091	Animalia	Mollusca	Gastropoda	Heterobranchia	Architectonicoidea	Architectonicidae	Architectonica sp.1 Röding, 1798	Not Evaluated	Marine	Al-Asif et al. (2020)	Architectonica sp.	Architectonicidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
7	WORMS:138814	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Assiminea grayana J. Fleming, 1828	Least Concern	Marine	Al-Asif et al. (2020)	Assiminea grayana	Assimineidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
8	WORMS:225185	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Assiminea ovata (F. Krauss, 1848)	Least Concern	Marine	Al-Asif et al. (2020)	Assiminea ovate	Assimineidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
9	WORMS:872442	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Assiminea woodmasoniana G. Nevill, 1880	Least Concern	Marine	Ashton et al. (2003)	Assiminea (Austropilula) woodmasoniana Nevill, 1880	Assimineidae		1737015	Sematan	2003	https://doi.org/10.1017/S0266467403003158	https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/baseline-study-of-the-diversity-and-community-ecology-of-crab-and-molluscan-macrofauna-in-the-sematan-mangrove-forest-sarawak-malaysia/2C21C33D600716C1AB6DD3BFD928F134	Ashton, E. C., Macintosh, D. J., & Hogarth, P. J. (2003). A baseline study of the diversity and community ecology of crab and molluscan macrofauna in the Sematan mangrove forest, Sarawak, Malaysia. Journal of Tropical Ecology, 19(2), 127–142. 
10	WORMS:1308264	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Austropilula beddomeana (G. Nevill, 1880)	Not Evaluated	Marine	Ashton et al. (2003)	Assiminea (Austropilula) beddomeana Nevill, 1880	Assimineidae	Unaccepted (original combination)	1737015	Sematan	2003	https://doi.org/10.1017/S0266467403003158	https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/baseline-study-of-the-diversity-and-community-ecology-of-crab-and-molluscan-macrofauna-in-the-sematan-mangrove-forest-sarawak-malaysia/2C21C33D600716C1AB6DD3BFD928F134	Ashton, E. C., Macintosh, D. J., & Hogarth, P. J. (2003). A baseline study of the diversity and community ecology of crab and molluscan macrofauna in the Sematan mangrove forest, Sarawak, Malaysia. Journal of Tropical Ecology, 19(2), 127–142. 
